event_at,removed,observed,censored,entrance,at_risk,Name,hazard,Smooth Haz,Smooth2 Haz
65,2,2,0,0,93,SR Tendulkar,0.021505376344086023,0.01283848367676797,0.014306565838049238
66,1,1,0,0,91,SR Tendulkar,0.01098901098901099,0.013780261417221221,0.0143804884407622
67,0,0,0,0,0,SR Tendulkar,0.0,0.013279008284389139,0.014434266612380753
68,1,1,0,0,90,SR Tendulkar,0.011111111111111112,0.014766689635979987,0.014574431309583668
69,2,2,0,0,89,SR Tendulkar,0.02247191011235955,0.014766689635979987,0.01469500956060734
70,1,1,0,0,87,SR Tendulkar,0.011494252873563218,0.01494321453957023,0.014736876192226899
71,0,0,0,0,0,SR Tendulkar,0.0,0.016346723311500055,0.014908807414250538
72,2,2,0,0,86,SR Tendulkar,0.023255813953488372,0.015488756476604595,0.01510421391680378
73,0,0,0,0,0,SR Tendulkar,0.0,0.014591969836464727,0.015287218315082781
74,2,2,0,0,84,SR Tendulkar,0.023809523809523808,0.015514639110789286,0.015611586836291371
75,3,3,0,0,82,SR Tendulkar,0.036585365853658534,0.015145553704426256,0.01597511446629323
76,0,0,0,0,0,SR Tendulkar,0.0,0.01534117851305416,0.016187730343047796
77,3,3,0,0,79,SR Tendulkar,0.0379746835443038,0.016126724467492495,0.01652565950301039
78,0,0,0,0,0,SR Tendulkar,0.0,0.016339377311724284,0.0166800966152596
79,1,1,0,0,76,SR Tendulkar,0.013157894736842105,0.015156645200547466,0.016885831562740164
80,2,2,0,0,75,SR Tendulkar,0.02666666666666667,0.01779055091975264,0.017098092982861298
81,1,1,0,0,73,SR Tendulkar,0.0136986301369863,0.01779055091975264,0.017215887466410233
82,1,1,0,0,72,SR Tendulkar,0.013888888888888888,0.017429373481303297,0.01734089175529442
83,2,2,0,0,71,SR Tendulkar,0.028169014084507043,0.019183759446215577,0.01752893731955541
84,1,1,0,0,69,SR Tendulkar,0.014492753623188406,0.019745508646803255,0.017646923141347238
85,1,1,0,0,68,SR Tendulkar,0.014705882352941176,0.01781996307555807,0.01774418837892219
86,1,1,0,0,67,SR Tendulkar,0.014925373134328358,0.019699662323678372,0.017848131122359917
87,1,1,0,0,66,SR Tendulkar,0.015151515151515152,0.017700994768715016,0.01786938481796203
88,0,0,0,0,0,SR Tendulkar,0.0,0.018675653638110728,0.017837475302506196
89,4,4,0,0,65,SR Tendulkar,0.06153846153846154,0.01897618152187177,0.01793077127968092
90,0,0,0,0,0,SR Tendulkar,0.0,0.0185848184989298,0.017714973987594262
