,time,survival,lower,upper,Name
0,0.0,1.0,0.9734331489037168,1.0,MEK Hussey
1,1.0,0.9124087591240876,0.8519943629250901,0.9539188417484119,MEK Hussey
2,2.0,0.8832116788321167,0.8172791671714683,0.9317510113398254,MEK Hussey
3,3.0,0.8686131386861313,0.8003206084960038,0.9202361948366504,MEK Hussey
4,4.0,0.8613138686131386,0.7919244914561842,0.914390054354655,MEK Hussey
5,5.0,0.8394160583941604,0.7670287673321651,0.8965417150598892,MEK Hussey
6,6.0,0.8321167883211678,0.7588187750985999,0.8904989479554845,MEK Hussey
7,7.0,0.8102189781021897,0.7344244157278077,0.8721239844294142,MEK Hussey
8,9.0,0.7810218978102189,0.7023875609090129,0.8471150828572459,MEK Hussey
9,11.0,0.7591240875912408,0.6786823158899925,0.8280248825000135,MEK Hussey
10,13.0,0.7372262773722628,0.6552246919505199,0.8086798144477538,MEK Hussey
11,14.0,0.7372262773722628,0.6551332644547886,0.8086798144477538,MEK Hussey
12,15.0,0.7298540145985402,0.6471811573823353,0.8021262417388554,MEK Hussey
13,16.0,0.707511544763891,0.6234831851692431,0.7821468097420551,MEK Hussey
14,18.0,0.6926165648741249,0.6078102128316782,0.7687009004880551,MEK Hussey
15,19.0,0.6851690749292418,0.6000097753836583,0.7619417368338396,MEK Hussey
16,20.0,0.6702740950394758,0.5844786200172895,0.7483534074839537,MEK Hussey
17,21.0,0.6479316252048266,0.5613500126547533,0.7278021930198573,MEK Hussey
18,23.0,0.6330366453150605,0.5460388730352594,0.7139931395547521,MEK Hussey
19,24.0,0.6181416654252944,0.5308112711502054,0.7001003648977664,MEK Hussey
20,25.0,0.6106941754804113,0.5232281531558816,0.6931232431946548,MEK Hussey
21,26.0,0.5957991955906451,0.5081221656694874,0.6791086827908064,MEK Hussey
22,27.0,0.5883517056457621,0.5005989030720985,0.6720716508609075,MEK Hussey
23,28.0,0.5809042157008789,0.4929828494957001,0.6650150275269419,MEK Hussey
24,29.0,0.5658157945138431,0.4778121188699361,0.6506920135421637,MEK Hussey
25,30.0,0.5507273733268073,0.4627222100422875,0.6362888790254386,MEK Hussey
26,31.0,0.5431831627332894,0.4550853273672402,0.6290575850238223,MEK Hussey
27,32.0,0.5278822285717882,0.4396128378973152,0.6143678117680795,MEK Hussey
28,33.0,0.5121245501069588,0.4239700301548866,0.5992354462192007,MEK Hussey
29,34.0,0.5042457108745441,0.4161836437429052,0.5916353265560483,MEK Hussey
30,35.0,0.4884880324097146,0.4005341222970403,0.5763675418563223,MEK Hussey
31,36.0,0.4804800318784078,0.3926724703142499,0.5685980440191853,MEK Hussey
32,37.0,0.4724720313471009,0.384835477677018,0.5608047589430587,MEK Hussey
33,38.0,0.4564560302844874,0.36923538288528257,0.5451468369098519,MEK Hussey
34,40.0,0.44044002922187375,0.3537338825999995,0.5293935980414419,MEK Hussey
35,41.0,0.43243202869056696,0.34602021582338705,0.5214810922245523,MEK Hussey
36,42.0,0.4164160276279534,0.3306674657767134,0.5055838448154861,MEK Hussey
37,46.0,0.4084080270966466,0.3228524812389698,0.497598855173423,MEK Hussey
38,47.0,0.4002398665547137,0.3150648167783457,0.489460561493877,MEK Hussey
39,49.0,0.3920717060127808,0.30730463861137136,0.4812958182654368,MEK Hussey
40,51.0,0.3839035454708478,0.2995721421666451,0.4731044229478549,MEK Hussey
41,52.0,0.3757353849289149,0.2918675530956248,0.4648861455249613,MEK Hussey
42,53.0,0.367567224386982,0.2841911284580495,0.4566407273651985,MEK Hussey
43,54.0,0.35939906384504905,0.2765431580968318,0.4483678799151959,MEK Hussey
44,55.0,0.3430627427611832,0.2613339132125759,0.4317385841833215,MEK Hussey
45,57.0,0.3348945822192503,0.25355508988385217,0.4233813947497944,MEK Hussey
46,59.0,0.32652221766376904,0.245809350857316,0.414829178390376,MEK Hussey
47,62.0,0.3181498531082878,0.2378558981072115,0.40624483126121225,MEK Hussey
48,65.0,0.3095512084296855,0.2299403810278731,0.3974451723765576,MEK Hussey
49,67.0,0.3009525637510831,0.22206342743689916,0.3886088827651297,MEK Hussey
50,68.0,0.2923539190724807,0.21422573716301,0.3797352815632038,MEK Hussey
51,71.0,0.2837552743938783,0.20642808779491129,0.3708236177472517,MEK Hussey
52,74.0,0.2665579850366736,0.19095645178366785,0.3528827107222512,MEK Hussey
53,75.0,0.2665579850366736,0.1906578508387923,0.3528827107222512,MEK Hussey
54,76.0,0.2576727188687845,0.1826931428273156,0.3436204696516224,MEK Hussey
55,83.0,0.2399021865330063,0.1669152440328658,0.3249531042278997,MEK Hussey
56,87.0,0.2310169203651172,0.15910502205397867,0.3155451854135828,MEK Hussey
57,90.0,0.21324638802933893,0.14365080421278728,0.29657269078782666,MEK Hussey
58,91.0,0.2043611218614498,0.13601095599722562,0.2870042757700759,MEK Hussey
59,92.0,0.19547585569356069,0.12843247174241915,0.277378148809733,MEK Hussey
60,94.0,0.17770532335778244,0.11347102940462267,0.25794232916170423,MEK Hussey
61,96.0,0.16882005718989332,0.10609474605287604,0.248126590414854,MEK Hussey
62,101.0,0.1599347910220042,0.09879331243905833,0.23824093415813474,MEK Hussey
63,104.0,0.14216425868622595,0.0844342308090117,0.21824273486468934,MEK Hussey
64,116.0,0.14216425868622595,0.08388046055300473,0.21824273486468934,MEK Hussey
65,117.0,0.13268664144047754,0.07630522822933636,0.20764632062437927,MEK Hussey
66,119.0,0.12320902419472918,0.06885470904311003,0.1969361908482976,MEK Hussey
67,122.0,0.1137314069489808,0.061539777560146273,0.18610302250098854,MEK Hussey
68,123.0,0.1042537897032324,0.0543736682487689,0.1751356021403797,MEK Hussey
69,133.0,0.094776172457484,0.047372727393768965,0.164020264145616,MEK Hussey
70,134.0,0.08529855521173559,0.039588277101877234,0.1527400892069809,MEK Hussey
71,135.0,0.08529855521173559,0.03833586271292952,0.1527400892069809,MEK Hussey
72,138.0,0.07311304732434479,0.029795369065132013,0.13936828611612095,MEK Hussey
73,143.0,0.06092753943695399,0.02183477858785411,0.1255074745466035,MEK Hussey
74,146.0,0.06092753943695399,0.019796825054557512,0.1255074745466035,MEK Hussey
75,147.0,0.04569565457771549,0.011181784814523522,0.10928910470841724,MEK Hussey
76,151.0,0.04569565457771549,0.007848585214733148,0.10928910470841724,MEK Hussey
77,183.0,0.022847827288857744,0.0009511647675569592,0.08817058912111397,MEK Hussey
78,196.0,0.0,0.0,0.06120125755271982,MEK Hussey
0,0.0,1.0,0.9734331489037168,1.0,RB Kanhai
1,1.0,0.9489051094890509,0.8975589677161957,0.9792132140238348,RB Kanhai
2,2.0,0.9343065693430656,0.8789569671989325,0.9695231855543232,RB Kanhai
3,3.0,0.9197080291970804,0.8607860132707548,0.9592369887864176,RB Kanhai
4,4.0,0.904992700729927,0.8429370074213469,0.9484392886610894,RB Kanhai
5,5.0,0.8902773722627737,0.8253337391274127,0.9372776825945089,RB Kanhai
6,6.0,0.8680204379562043,0.7993190888258672,0.9198782198082732,RB Kanhai
7,7.0,0.8606014598540146,0.7907680827907436,0.9139517428648783,RB Kanhai
8,8.0,0.8531824817518249,0.78227065351806,0.9079692218117192,RB Kanhai
9,9.0,0.8309255474452556,0.7570688889560822,0.8897188540036541,RB Kanhai
10,10.0,0.8235065693430659,0.7487565092085773,0.8835437652420491,RB Kanhai
11,11.0,0.816087591240876,0.7404845887952087,0.8773267743629838,RB Kanhai
12,12.0,0.8012496350364965,0.7240548587470315,0.8647748635720132,RB Kanhai
13,13.0,0.7789927007299271,0.6996725050642896,0.8456767584491013,RB Kanhai
14,14.0,0.7715737226277374,0.6916097600990349,0.8392442216053684,RB Kanhai
15,15.0,0.7567357664233578,0.6755747617296056,0.8262863695428407,RB Kanhai
16,16.0,0.7418978102189783,0.6596542473803243,0.813211353065037,RB Kanhai
17,17.0,0.7344788321167884,0.6516399956197791,0.8066320806322855,RB Kanhai
18,18.0,0.7194894681960377,0.6355949362147424,0.7932844102924224,RB Kanhai
19,19.0,0.6967687481477417,0.6115811053128573,0.7728934623152255,RB Kanhai
20,21.0,0.6891951747983097,0.6036280652141763,0.7660448873588729,RB Kanhai
21,22.0,0.6664744547500138,0.5799161145232807,0.7453519407265159,RB Kanhai
22,23.0,0.6513273080511498,0.5642262342436801,0.7314385343247719,RB Kanhai
23,24.0,0.6437537347017178,0.556415520921611,0.7244476062891869,RB Kanhai
24,25.0,0.6210330146534219,0.5331162416020458,0.7033420116775286,RB Kanhai
25,26.0,0.5907387212556939,0.5023501658184387,0.6749018588408673,RB Kanhai
26,27.0,0.5831651479062621,0.4947106139084855,0.6677399320917463,RB Kanhai
27,28.0,0.560444427857966,0.4719138101788707,0.6461325688926975,RB Kanhai
28,29.0,0.5528708545085339,0.4643550220885938,0.6388900758213519,RB Kanhai
29,30.0,0.545297281159102,0.4568161112255416,0.631627768953352,RB Kanhai
30,31.0,0.5377237078096699,0.4492969826826928,0.6243457491972754,RB Kanhai
31,32.0,0.5301501344602381,0.4417975561741377,0.6170441030441554,RB Kanhai
32,33.0,0.5150029877613741,0.4268575595285045,0.6023822071819409,RB Kanhai
33,34.0,0.5074294144119421,0.4194168995706026,0.5950220608254352,RB Kanhai
34,35.0,0.4922822677130782,0.404594135362692,0.5802435280098047,RB Kanhai
35,37.0,0.4771351210142142,0.38984944363558,0.5653873944343965,RB Kanhai
36,38.0,0.4619879743153503,0.3751830137334325,0.5504535363097672,RB Kanhai
37,39.0,0.4468408276164863,0.36059525642486456,0.5354416142278398,RB Kanhai
38,40.0,0.4392672542670544,0.3531847741656109,0.5279062130558871,RB Kanhai
39,41.0,0.4161479250951042,0.33108219059967564,0.5048525208559191,RB Kanhai
40,42.0,0.4007350389804707,0.3164558196938265,0.4893766855125997,RB Kanhai
41,43.0,0.3853221528658372,0.3019179566493695,0.4738139991183298,RB Kanhai
42,44.0,0.3776157098085205,0.2946827327249191,0.4659995954525724,RB Kanhai
43,45.0,0.3467899375792535,0.2659725365574933,0.43451590596719614,RB Kanhai
44,46.0,0.3390834945219367,0.2588541874645321,0.42658702143846,RB Kanhai
