,time,survival,lower,upper
95,95,0.141056874183143,0.134792025052088,0.145533079663435
96,96,0.139161676257458,0.13197986382541602,0.14361599569495198
97,97,0.13631518742491902,0.12961380085879198,0.1407361090548
98,98,0.133919728229455,0.127736510878973,0.138311989194732
99,99,0.132018873688854,0.12540551753220097,0.136388065338237
100,100,0.129658151050677,0.122937311824535,0.13399836551074498
101,101,0.127158607304519,0.12052101155371901,0.13146760395347
102,102,0.12471147361274698,0.118038214216053,0.12899012315142
103,103,0.122196753831161,0.11521009863135499,0.126444025003526
104,104,0.119332033622206,0.11291145213957099,0.12354324197051499
105,105,0.11700337187489901,0.11045660223964998,0.12118519342248801
106,106,0.11451597394460698,0.108607330721446,0.118666056834544
107,107,0.11264181406888699,0.106943700843737,0.11676767629232401
108,108,0.11095555936725698,0.105369853147482,0.11505934771210499
109,109,0.109360119951519,0.103119715891396,0.113442813008078
110,110,0.10707875038306698,0.10119289641668301,0.11113090306784
111,111,0.105124758587756,0.0995508447276242,0.109150483937643
112,112,0.10345922187201301,0.0972277644743314,0.10746210639261
113,113,0.10110229607711199,0.0951420338178457,0.105072303476072
114,114,0.0989857436275912,0.0933866481670771,0.10292564500470501
115,115,0.0972040002422946,0.0912851213198623,0.101118268286528
116,116,0.0950703749179359,0.0893245563384274,0.0989534191965394
117,117,0.0930793723018534,0.0875538652733946,0.0969327669982196
118,118,0.0912807370882911,0.0855322531172605,0.0951069465261581
119,119,0.0892266700078191,0.0838010230533895,0.0930212914569128
120,120,0.0874672708809043,0.0822608665204964,0.0912343918422289
121,121,0.0859017481341907,0.0805152623961843,0.0896441123964131
122,122,0.0841269186272859,0.0789147657843276,0.08784085007785801
123,123,0.0824993119791159,0.0772061925135063,0.0861867601188303
124,124,0.0807614082571271,0.0760446256857052,0.0844202256799944
125,125,0.0795797845994211,0.0750803046766469,0.0832189454638729
126,126,0.0785985932253854,0.0735548857403138,0.0822213496441307
127,127,0.0770462839450947,0.072174046837429,0.0806427410499605
128,128,0.0756407098460963,0.0710460413933644,0.07921313230239399
129,129,0.0744922656662384,0.0701206304058983,0.0780448012811841
130,130,0.0735499882368693,0.0689341870001325,0.0770860506325599
131,131,0.0723416670015493,0.0677435830986997,0.0758564169886206
132,132,0.0711289422631851,0.0664951259247898,0.0746220682886007
133,133,0.0698568896444694,0.0655046810650139,0.0733271303056641
134,134,0.0688475505545494,0.0647726009774081,0.072299398626824
135,135,0.068101524464949,0.0635118766407414,0.0715396734354468
136,136,0.066816590041082,0.0620296457917436,0.0702309735381587
