,Name,time,hazard,removed,observed,censored,entrance,at_risk,Smooth Haz,Smooth2 Haz
35,Tamim Iqbal,,0.0196078431372549,1.0,1.0,0.0,0.0,51.0,0.018471990230994523,0.018589284576616405
36,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.01671760426608224,0.018969622164657717
37,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.01671760426608224,0.019349959752699028
38,Tamim Iqbal,,0.04,2.0,2.0,0.0,0.0,50.0,0.017970737098162444,0.019899580197003802
39,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.019630690176822087,0.02040225933159145
40,Tamim Iqbal,,0.020833333333333332,1.0,1.0,0.0,0.0,48.0,0.020980217842139225,0.021184274577354875
41,Tamim Iqbal,,0.02127659574468085,1.0,1.0,0.0,0.0,47.0,0.02282693991046794,0.02197678256214289
42,Tamim Iqbal,,0.043478260869565216,2.0,2.0,0.0,0.0,46.0,0.020007391038287494,0.022801925901072717
43,Tamim Iqbal,,0.022727272727272728,1.0,1.0,0.0,0.0,44.0,0.019014342378903183,0.023386192448481405
44,Tamim Iqbal,,0.023255813953488372,1.0,1.0,0.0,0.0,43.0,0.0238501498462896,0.023844546127594957
45,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.026107631786434077,0.024263416251609205
46,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.026107631786434077,0.024774622479039887
47,Tamim Iqbal,,0.023809523809523808,1.0,1.0,0.0,0.0,42.0,0.02786201775134636,0.02539663203057029
48,Tamim Iqbal,,0.04878048780487805,2.0,2.0,0.0,0.0,41.0,0.027571636626119493,0.02600215299220491
49,Tamim Iqbal,,0.02564102564102564,1.0,1.0,0.0,0.0,39.0,0.031331035122360094,0.02638518199733146
50,Tamim Iqbal,,0.05263157894736842,2.0,2.0,0.0,0.0,38.0,0.030234543894289916,0.026626155458740416
51,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.03113901456359821,0.026744577570077217
52,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.02885068504414741,0.027011396990476142
53,Tamim Iqbal,,0.1111111111111111,4.0,4.0,0.0,0.0,36.0,0.027654512795343582,0.027456394998085172
54,Tamim Iqbal,,0.0625,2.0,2.0,0.0,0.0,32.0,0.026430522587265245,0.0274709985309784
55,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.026430522587265245,0.02733216118613549
56,Tamim Iqbal,,0.03333333333333333,1.0,1.0,0.0,0.0,30.0,0.028535785745159983,0.027193323841292583
57,Tamim Iqbal,,0.034482758620689655,1.0,1.0,0.0,0.0,29.0,0.02947563536922013,0.027161401984616074
58,Tamim Iqbal,,0.07142857142857142,2.0,2.0,0.0,0.0,28.0,0.026908241274226547,0.027049243238074252
59,Tamim Iqbal,,0.0,0.0,0.0,0.0,0.0,0.0,0.025558713608909406,0.026541358334033413
